"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 17 23:45:01 IST 2021","Tue Aug 17 23:45:06 IST 2021","4491","","Login application","","Login application","should login with valid credentials","should login with valid credentials",""
"passed","Wed Aug 18 15:08:55 IST 2021","Wed Aug 18 15:08:58 IST 2021","3411","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"broken","Wed Aug 18 15:23:27 IST 2021","Wed Aug 18 15:23:30 IST 2021","3506","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"broken","Tue Aug 17 21:45:02 IST 2021","Tue Aug 17 21:45:05 IST 2021","3346","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Wed Aug 18 15:09:45 IST 2021","Wed Aug 18 15:09:49 IST 2021","3403","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Wed Aug 18 15:09:05 IST 2021","Wed Aug 18 15:09:07 IST 2021","2324","","Google search","","Google search","Search for webdriverio","Search for webdriverio",""
"passed","Wed Aug 18 15:09:51 IST 2021","Wed Aug 18 15:09:53 IST 2021","1447","","Google search","","Google search","Search for webdriverio","Search for webdriverio",""
"passed","Wed Aug 18 00:12:35 IST 2021","Wed Aug 18 00:12:40 IST 2021","4704","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"broken","Wed Aug 18 15:23:36 IST 2021","Wed Aug 18 15:23:37 IST 2021","1747","","Google search","","Google search","Search for webdriverio","Search for webdriverio",""
"passed","Wed Aug 18 00:27:36 IST 2021","Wed Aug 18 00:27:41 IST 2021","4653","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
